Connecting to E4:E3:EA:21:F7:C4
Connected
model=MetaWear C
Stream started
{'epoch': 1515034427793L, 'value x': -0.521484375, 'value y': 0.1025390625, 'value z': 0.8232421875}
{'epoch': 1515034427800L, 'value x': -0.5263671875, 'value y': 0.10302734375, 'value z': 0.8349609375}
{'epoch': 1515034427807L, 'value x': -0.5244140625, 'value y': 0.10302734375, 'value z': 0.830078125}
{'epoch': 1515034427823L, 'value x': -0.52587890625, 'value y': 0.1044921875, 'value z': 0.8310546875}
{'epoch': 1515034427830L, 'value x': -0.52392578125, 'value y': 0.1064453125, 'value z': 0.83056640625}
{'epoch': 1515034427838L, 'value x': -0.52490234375, 'value y': 0.10205078125, 'value z': 0.83154296875}
{'epoch': 1515034427852L, 'value x': -0.525390625, 'value y': 0.10205078125, 'value z': 0.8271484375}
{'epoch': 1515034427860L, 'value x': -0.52685546875, 'value y': 0.1044921875, 'value z': 0.828125}
{'epoch': 1515034427867L, 'value x': -0.525390625, 'value y': 0.10302734375, 'value z': 0.8310546875}
{'epoch': 1515034427882L, 'value x': -0.5244140625, 'value y': 0.10205078125, 'value z': 0.8310546875}
{'epoch': 1515034427890L, 'value x': -0.5244140625, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034427897L, 'value x': -0.52685546875, 'value y': 0.1044921875, 'value z': 0.82958984375}
{'epoch': 1515034427912L, 'value x': -0.52490234375, 'value y': 0.1044921875, 'value z': 0.8330078125}
{'epoch': 1515034427920L, 'value x': -0.52734375, 'value y': 0.1025390625, 'value z': 0.8291015625}
{'epoch': 1515034427927L, 'value x': -0.52685546875, 'value y': 0.10400390625, 'value z': 0.82763671875}
{'epoch': 1515034427943L, 'value x': -0.5263671875, 'value y': 0.103515625, 'value z': 0.82958984375}
{'epoch': 1515034427950L, 'value x': -0.525390625, 'value y': 0.10107421875, 'value z': 0.83056640625}
{'epoch': 1515034427957L, 'value x': -0.52587890625, 'value y': 0.1025390625, 'value z': 0.83056640625}
{'epoch': 1515034427972L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.82861328125}
{'epoch': 1515034427980L, 'value x': -0.521484375, 'value y': 0.10302734375, 'value z': 0.828125}
{'epoch': 1515034427987L, 'value x': -0.5244140625, 'value y': 0.1025390625, 'value z': 0.82958984375}
{'epoch': 1515034428002L, 'value x': -0.52587890625, 'value y': 0.10302734375, 'value z': 0.83056640625}
